2024-10-14 07:20:38.558 GMT [123] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:40.104 GMT [124] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:43.563 GMT [125] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:45.108 GMT [126] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:48.569 GMT [127] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:50.113 GMT [129] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:53.575 GMT [130] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:55.119 GMT [131] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:58.577 GMT [132] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:00.122 GMT [133] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:01.918 GMT [1] LOG:  received fast shutdown request
2024-10-14 07:21:01.919 GMT [1] LOG:  aborting any active transactions
2024-10-14 07:21:01.919 GMT [85] FATAL:  terminating connection due to administrator command
2024-10-14 07:21:01.920 GMT [1] LOG:  background worker "logical replication launcher" (PID 80) exited with exit code 1
2024-10-14 07:21:01.921 GMT [74] LOG:  shutting down
2024-10-14 07:21:01.946 GMT [74] LOG:  checkpoint starting: shutdown immediate
2024-10-14 07:21:01.952 GMT [74] LOG:  checkpoint complete: wrote 45 buffers (0.3%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.003 s, sync=0.001 s, total=0.007 s; sync files=11, longest=0.001 s, average=0.001 s; distance=32768 kB, estimate=32768 kB; lsn=0/5000028, redo lsn=0/5000028
2024-10-14 07:21:01.964 GMT [1] LOG:  database system is shut down
2024-10-14 07:21:02.745 GMT [1] LOG:  starting PostgreSQL 17.0 (Debian 17.0-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit
2024-10-14 07:21:02.745 GMT [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2024-10-14 07:21:02.745 GMT [1] LOG:  listening on IPv6 address "::", port 5432
2024-10-14 07:21:02.747 GMT [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2024-10-14 07:21:02.750 GMT [35] LOG:  database system was shut down at 2024-10-14 07:21:01 GMT
2024-10-14 07:21:02.754 GMT [1] LOG:  database system is ready to accept connections
2024-10-14 07:21:03.585 GMT [41] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:03.646 GMT [42] LOG:  received replication command: SHOW data_directory_mode
2024-10-14 07:21:03.646 GMT [42] STATEMENT:  SHOW data_directory_mode
2024-10-14 07:21:03.646 GMT [42] LOG:  received replication command: SHOW wal_segment_size
2024-10-14 07:21:03.646 GMT [42] STATEMENT:  SHOW wal_segment_size
2024-10-14 07:21:03.646 GMT [42] LOG:  received replication command: IDENTIFY_SYSTEM
2024-10-14 07:21:03.646 GMT [42] STATEMENT:  IDENTIFY_SYSTEM
2024-10-14 07:21:03.646 GMT [42] LOG:  received replication command: BASE_BACKUP ( LABEL 'pg_basebackup base backup',  PROGRESS,  WAIT 0,  MANIFEST 'yes',  TARGET 'client')
2024-10-14 07:21:03.646 GMT [42] STATEMENT:  BASE_BACKUP ( LABEL 'pg_basebackup base backup',  PROGRESS,  WAIT 0,  MANIFEST 'yes',  TARGET 'client')
2024-10-14 07:21:03.657 GMT [33] LOG:  checkpoint starting: force wait
2024-10-14 07:21:03.660 GMT [33] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.001 s, sync=0.001 s, total=0.004 s; sync files=2, longest=0.001 s, average=0.001 s; distance=16384 kB, estimate=16384 kB; lsn=0/6000080, redo lsn=0/6000028
2024-10-14 07:21:03.668 GMT [45] LOG:  received replication command: SHOW data_directory_mode
2024-10-14 07:21:03.668 GMT [45] STATEMENT:  SHOW data_directory_mode
2024-10-14 07:21:03.668 GMT [45] LOG:  received replication command: CREATE_REPLICATION_SLOT "pg_basebackup_45" TEMPORARY PHYSICAL ( RESERVE_WAL)
2024-10-14 07:21:03.668 GMT [45] STATEMENT:  CREATE_REPLICATION_SLOT "pg_basebackup_45" TEMPORARY PHYSICAL ( RESERVE_WAL)
2024-10-14 07:21:03.670 GMT [45] LOG:  released physical replication slot "pg_basebackup_45"
2024-10-14 07:21:03.670 GMT [45] STATEMENT:  CREATE_REPLICATION_SLOT "pg_basebackup_45" TEMPORARY PHYSICAL ( RESERVE_WAL)
2024-10-14 07:21:03.670 GMT [45] LOG:  received replication command: IDENTIFY_SYSTEM
2024-10-14 07:21:03.670 GMT [45] STATEMENT:  IDENTIFY_SYSTEM
2024-10-14 07:21:03.670 GMT [45] LOG:  received replication command: START_REPLICATION SLOT "pg_basebackup_45" 0/6000000 TIMELINE 1
2024-10-14 07:21:03.670 GMT [45] STATEMENT:  START_REPLICATION SLOT "pg_basebackup_45" 0/6000000 TIMELINE 1
2024-10-14 07:21:03.670 GMT [45] LOG:  acquired physical replication slot "pg_basebackup_45"
2024-10-14 07:21:03.670 GMT [45] STATEMENT:  START_REPLICATION SLOT "pg_basebackup_45" 0/6000000 TIMELINE 1
2024-10-14 07:21:03.730 GMT [45] LOG:  released physical replication slot "pg_basebackup_45"
2024-10-14 07:21:03.730 GMT [45] STATEMENT:  START_REPLICATION SLOT "pg_basebackup_45" 0/6000000 TIMELINE 1
2024-10-14 07:21:03.903 GMT [50] LOG:  received replication command: IDENTIFY_SYSTEM
2024-10-14 07:21:03.903 GMT [50] STATEMENT:  IDENTIFY_SYSTEM
2024-10-14 07:21:03.903 GMT [50] LOG:  received replication command: START_REPLICATION 0/7000000 TIMELINE 1
2024-10-14 07:21:03.903 GMT [50] STATEMENT:  START_REPLICATION 0/7000000 TIMELINE 1
2024-10-14 07:21:05.127 GMT [51] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:08.586 GMT [52] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:10.132 GMT [53] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:13.594 GMT [54] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:15.138 GMT [55] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:18.602 GMT [56] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:20.142 GMT [57] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:23.604 GMT [59] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:21:25.146 GMT [60] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:21:28.609 GMT [61] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
